"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Czech Republic","CZE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11850","12450","13400","14160","14260","14260","14540","15320","16390","16930","18140","19140","20420","22150","23660","24770","24260","23990","25230","25480","",
"Germany","DEU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18750","20070","20730","20840","21580","22270","22890","23350","23910","24690","25510","26430","27070","28130","29920","31470","34260","36120","37550","36860","39150","41910","43720","",
"Djibouti","DJI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4080","4190","4380","4580","4640","4790","4910","5120","5580","5500","5170","5560","5460","5990","6240","6450","7580","7740","8580","9250","9520","9630","9450","",
"Denmark","DNK","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17980","18750","19570","20090","21610","22710","23740","24900","25840","26690","28240","29040","30390","30260","32410","33660","36750","38070","40460","39240","41860","42960","44070","",
"Dominican Republic","DOM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2950","3040","3360","3560","3680","3890","4200","4540","4820","5120","5460","5590","5920","5790","5830","6670","7530","8280","8860","9130","9880","10340","10790","",
"Algeria","DZA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6340","6210","6340","6280","6190","6350","6600","6740","7080","7260","7460","8050","8430","9130","9590","10300","10700","11450","11770","11830","12270","12500","12860","",
"East Asia & Pacific (developing only)","EAP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1361.55901167085","1469.08400530592","1641.85443605222","1872.39807344631","2096.45669788438","2300.59133361294","2521.31029652743","2713.22570787548","2711.96636074728","2855.88738336519","3107.9700041571","3335.37962857116","3612.75908711384","4028.8592784649","4465.05231333928","4984.37339823839","5661.2171519797","6475.06523450277","7120.58213607174","7591.36303186065","8338.04822888162","9097.04480924502","9899.51695702464","",
"East Asia & Pacific (all income levels)","EAS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3112.26923428094","3321.69304238038","3540.27360167742","3813.68442927994","4094.05585689656","4373.09963280487","4671.75867086742","4929.49372579991","4889.202881233","5088.21703304824","5479.49728088495","5752.97527658659","6099.27397173826","6552.04126741093","7108.94562632614","7703.69052866473","8495.21240224384","9428.79441858586","10048.4587616186","10358.3496411466","11235.309095964","12027.4172111422","12886.1381050444","",
"Europe & Central Asia (developing only)","ECA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5117.24525818854","4857.83463752042","4603.76994943416","4512.81750643671","4153.32563429897","4174.41245790639","4291.00965158195","4481.08409356565","5177.13053805083","5156.59635417916","5653.4472278671","5898.26700858414","6249.05153488717","6656.68983243413","7501.15200694619","8252.68058925117","9327.09723950539","10225.1393826642","11200.0988381017","10965.4813054273","11701.2592032414","12619.9847684231","13070.4066369039","",
"Europe & Central Asia (all income levels)","ECS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11013.0289440973","11288.2983380295","11292.5357129181","11373.3579610035","11593.1926347353","12026.9457332694","12470.2651133904","13058.3986788493","13675.3594493785","14178.446623004","15274.0230338798","16056.7694581622","16735.980207276","17392.1347108787","18540.2219384896","19734.7450245867","21829.1569963371","23249.4719692472","24740.6792430484","24127.0716851685","24919.984493074","26226.490172247","26982.9849584807","",
