nom,name,an2014,dif2014,sco2014,an2013,sco2013,an2012,iso,capitale,latitude,longitude
Mongolie,Mongolia,88,(+ 11),30.3,98,26.01,100,MNG,Ulaanbaatar,47.55N,106.53E
Monténégro,Montenegro,114,( - ),34.78,113,29.93,107,MNE,Podgorica,42.47N,19.28E
Mozambique,Mozambique,79,(- 5),29.26,73,32.97,66,MOZ,Maputo,25.58S,32.32E
Namibie,Namibia,22,(- 3),12.5,19,28.01,20,NAM,Windhoek,22.35S,17.04E
Népal,Nepal,120,(- 1),36.16,118,12.5,106,NPL,Kathmandu,27.45N,85.20E
Nicaragua,Nicaragua,71,(+ 8),27.7,78,34.61,72,NIC,Managua,12.06N,86.20W
Niger,Niger,48,(- 4),23.59,43,28.31,29,NER,Niamey,13.27N,02.06E
Nigeria,Nigeria,112,(+ 4),34.24,115,23.08,126,NGA,Abuja,09.05N,07.32E
Norvège,Norway,3,( - ),6.52,3,34.11,1,NOR,Oslo,59.55N,10.45E
Nouvelle-Zélande,New Zealand,9,(- 1),8.55,8,6.52,13,NZL,Wellington,41.19S,174.46E
OECS,Antigua and Barbuda,36,(- 1),20.81,34,8.38,25,ATG,West Indies,17.20N,61.48W
Oman,Oman,134,(+ 8),38.83,141,19.72,117,OMN,Masqat,23.37N,58.36E
Ouganda,Uganda,110,(- 5),33.29,104,41.51,139,UGA,Kampala,00.20N,32.30E
