Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Unit,Value,Flag,FlagD
"CP","Consumer Price Indices","5000","World","7008","August","23013","Consumer Prices, Food Indices (2000 = 100)","2009","","176.49","","Official data"
"CP","Consumer Price Indices","5000","World","7008","August","23013","Consumer Prices, Food Indices (2000 = 100)","2010","","188.69","","Official data"
"CP","Consumer Price Indices","5000","World","7008","August","23013","Consumer Prices, Food Indices (2000 = 100)","2011","","205.50","","Official data"
"CP","Consumer Price Indices","5000","World","7008","August","23013","Consumer Prices, Food Indices (2000 = 100)","2012","","218.00","","Official data"
"CP","Consumer Price Indices","5000","World","7008","August","23013","Consumer Prices, Food Indices (2000 = 100)","2013","","235.13","","Official data"
"CP","Consumer Price Indices","5000","World","7009","September","23013","Consumer Prices, Food Indices (2000 = 100)","2000","","100.08","","Official data"
"CP","Consumer Price Indices","5000","World","7009","September","23013","Consumer Prices, Food Indices (2000 = 100)","2001","","104.46","","Official data"
"CP","Consumer Price Indices","5000","World","7009","September","23013","Consumer Prices, Food Indices (2000 = 100)","2002","","109.31","","Official data"
"CP","Consumer Price Indices","5000","World","7009","September","23013","Consumer Prices, Food Indices (2000 = 100)","2003","","114.97","","Official data"
"CP","Consumer Price Indices","5000","World","7009","September","23013","Consumer Prices, Food Indices (2000 = 100)","2004","","123.80","","Official data"
"CP","Consumer Price Indices","5000","World","7009","September","23013","Consumer Prices, Food Indices (2000 = 100)","2005","","128.79","","Official data"
"CP","Consumer Price Indices","5000","World","7009","September","23013","Consumer Prices, Food Indices (2000 = 100)","2006","","136.44","","Official data"
"CP","Consumer Price Indices","5000","World","7009","September","23013","Consumer Prices, Food Indices (2000 = 100)","2007","","148.62","","Official data"
"CP","Consumer Price Indices","5000","World","7009","September","23013","Consumer Prices, Food Indices (2000 = 100)","2008","","168.60","","Official data"
"CP","Consumer Price Indices","5000","World","7009","September","23013","Consumer Prices, Food Indices (2000 = 100)","2009","","177.83","","Official data"
"CP","Consumer Price Indices","5000","World","7009","September","23013","Consumer Prices, Food Indices (2000 = 100)","2010","","190.90","","Official data"
"CP","Consumer Price Indices","5000","World","7009","September","23013","Consumer Prices, Food Indices (2000 = 100)","2011","","206.92","","Official data"
"CP","Consumer Price Indices","5000","World","7009","September","23013","Consumer Prices, Food Indices (2000 = 100)","2012","","219.50","","Official data"
"CP","Consumer Price Indices","5000","World","7009","September","23013","Consumer Prices, Food Indices (2000 = 100)","2013","","236.37","","Official data"
"CP","Consumer Price Indices","5000","World","7010","October","23013","Consumer Prices, Food Indices (2000 = 100)","2000","","100.22","","Official data"
"CP","Consumer Price Indices","5000","World","7010","October","23013","Consumer Prices, Food Indices (2000 = 100)","2001","","105.07","","Official data"
"CP","Consumer Price Indices","5000","World","7010","October","23013","Consumer Prices, Food Indices (2000 = 100)","2002","","109.60","","Official data"
"CP","Consumer Price Indices","5000","World","7010","October","23013","Consumer Prices, Food Indices (2000 = 100)","2003","","116.08","","Official data"
"CP","Consumer Price Indices","5000","World","7010","October","23013","Consumer Prices, Food Indices (2000 = 100)","2004","","124.44","","Official data"
"CP","Consumer Price Indices","5000","World","7010","October","23013","Consumer Prices, Food Indices (2000 = 100)","2005","","129.63","","Official data"
"CP","Consumer Price Indices","5000","World","7010","October","23013","Consumer Prices, Food Indices (2000 = 100)","2006","","137.35","","Official data"
"CP","Consumer Price Indices","5000","World","7010","October","23013","Consumer Prices, Food Indices (2000 = 100)","2007","","149.98","","Official data"
"CP","Consumer Price Indices","5000","World","7010","October","23013","Consumer Prices, Food Indices (2000 = 100)","2008","","169.07","","Official data"
"CP","Consumer Price Indices","5000","World","7010","October","23013","Consumer Prices, Food Indices (2000 = 100)","2009","","178.27","","Official data"
"CP","Consumer Price Indices","5000","World","7010","October","23013","Consumer Prices, Food Indices (2000 = 100)","2010","","192.17","","Official data"
"CP","Consumer Price Indices","5000","World","7010","October","23013","Consumer Prices, Food Indices (2000 = 100)","2011","","207.74","","Official data"
"CP","Consumer Price Indices","5000","World","7010","October","23013","Consumer Prices, Food Indices (2000 = 100)","2012","","219.93","","Official data"
"CP","Consumer Price Indices","5000","World","7010","October","23013","Consumer Prices, Food Indices (2000 = 100)","2013","","237.28","","Official data"
"CP","Consumer Price Indices","5000","World","7011","November","23013","Consumer Prices, Food Indices (2000 = 100)","2000","","100.64","","Official data"
"CP","Consumer Price Indices","5000","World","7011","November","23013","Consumer Prices, Food Indices (2000 = 100)","2001","","105.36","","Official data"
"CP","Consumer Price Indices","5000","World","7011","November","23013","Consumer Prices, Food Indices (2000 = 100)","2002","","110.53","","Official data"
"CP","Consumer Price Indices","5000","World","7011","November","23013","Consumer Prices, Food Indices (2000 = 100)","2003","","117.21","","Official data"
"CP","Consumer Price Indices","5000","World","7011","November","23013","Consumer Prices, Food Indices (2000 = 100)","2004","","124.39","","Official data"
"CP","Consumer Price Indices","5000","World","7011","November","23013","Consumer Prices, Food Indices (2000 = 100)","2005","","130.06","","Official data"
"CP","Consumer Price Indices","5000","World","7011","November","23013","Consumer Prices, Food Indices (2000 = 100)","2006","","138.22","","Official data"
"CP","Consumer Price Indices","5000","World","7011","November","23013","Consumer Prices, Food Indices (2000 = 100)","2007","","151.08","","Official data"
"CP","Consumer Price Indices","5000","World","7011","November","23013","Consumer Prices, Food Indices (2000 = 100)","2008","","168.72","","Official data"
"CP","Consumer Price Indices","5000","World","7011","November","23013","Consumer Prices, Food Indices (2000 = 100)","2009","","179.45","","Official data"
"CP","Consumer Price Indices","5000","World","7011","November","23013","Consumer Prices, Food Indices (2000 = 100)","2010","","193.91","","Official data"
"CP","Consumer Price Indices","5000","World","7011","November","23013","Consumer Prices, Food Indices (2000 = 100)","2011","","207.81","","Official data"
"CP","Consumer Price Indices","5000","World","7011","November","23013","Consumer Prices, Food Indices (2000 = 100)","2012","","220.67","","Official data"
"CP","Consumer Price Indices","5000","World","7011","November","23013","Consumer Prices, Food Indices (2000 = 100)","2013","","238.28","","Official data"
"CP","Consumer Price Indices","5000","World","7012","December","23013","Consumer Prices, Food Indices (2000 = 100)","2000","","100.93","","Official data"
"CP","Consumer Price Indices","5000","World","7012","December","23013","Consumer Prices, Food Indices (2000 = 100)","2001","","105.71","","Official data"
"CP","Consumer Price Indices","5000","World","7012","December","23013","Consumer Prices, Food Indices (2000 = 100)","2002","","111.23","","Official data"
"CP","Consumer Price Indices","5000","World","7012","December","23013","Consumer Prices, Food Indices (2000 = 100)","2003","","118.02","","Official data"
"CP","Consumer Price Indices","5000","World","7012","December","23013","Consumer Prices, Food Indices (2000 = 100)","2004","","124.52","","Official data"
"CP","Consumer Price Indices","5000","World","7012","December","23013","Consumer Prices, Food Indices (2000 = 100)","2005","","130.25","","Official data"
"CP","Consumer Price Indices","5000","World","7012","December","23013","Consumer Prices, Food Indices (2000 = 100)","2006","","139.85","","Official data"
"CP","Consumer Price Indices","5000","World","7012","December","23013","Consumer Prices, Food Indices (2000 = 100)","2007","","152.74","","Official data"
"CP","Consumer Price Indices","5000","World","7012","December","23013","Consumer Prices, Food Indices (2000 = 100)","2008","","168.97","","Official data"
"CP","Consumer Price Indices","5000","World","7012","December","23013","Consumer Prices, Food Indices (2000 = 100)","2009","","181.18","","Official data"
"CP","Consumer Price Indices","5000","World","7012","December","23013","Consumer Prices, Food Indices (2000 = 100)","2010","","195.83","","Official data"
"CP","Consumer Price Indices","5000","World","7012","December","23013","Consumer Prices, Food Indices (2000 = 100)","2011","","208.48","","Official data"
"CP","Consumer Price Indices","5000","World","7012","December","23013","Consumer Prices, Food Indices (2000 = 100)","2012","","222.76","","Official data"
"CP","Consumer Price Indices","5000","World","7012","December","23013","Consumer Prices, Food Indices (2000 = 100)","2013","","237.79","","Official data"
"CP","Consumer Price Indices","5000","World","7013","Year average","23013","Consumer Prices, Food Indices (2000 = 100)","2000","","99.94","","Official data"
"CP","Consumer Price Indices","5000","World","7013","Year average","23013","Consumer Prices, Food Indices (2000 = 100)","2001","","103.64","","Official data"
"CP","Consumer Price Indices","5000","World","7013","Year average","23013","Consumer Prices, Food Indices (2000 = 100)","2002","","108.36","","Official data"
"CP","Consumer Price Indices","5000","World","7013","Year average","23013","Consumer Prices, Food Indices (2000 = 100)","2003","","114.63","","Official data"
"CP","Consumer Price Indices","5000","World","7013","Year average","23013","Consumer Prices, Food Indices (2000 = 100)","2004","","121.99","","Official data"
"CP","Consumer Price Indices","5000","World","7013","Year average","23013","Consumer Prices, Food Indices (2000 = 100)","2005","","127.83","","Official data"
"CP","Consumer Price Indices","5000","World","7013","Year average","23013","Consumer Prices, Food Indices (2000 = 100)","2006","","134.91","","Official data"
"CP","Consumer Price Indices","5000","World","7013","Year average","23013","Consumer Prices, Food Indices (2000 = 100)","2007","","145.24","","Official data"
"CP","Consumer Price Indices","5000","World","7013","Year average","23013","Consumer Prices, Food Indices (2000 = 100)","2008","","164.46","","Official data"
"CP","Consumer Price Indices","5000","World","7013","Year average","23013","Consumer Prices, Food Indices (2000 = 100)","2009","","175.06","","Official data"
"CP","Consumer Price Indices","5000","World","7013","Year average","23013","Consumer Prices, Food Indices (2000 = 100)","2010","","187.94","","Official data"
"CP","Consumer Price Indices","5000","World","7013","Year average","23013","Consumer Prices, Food Indices (2000 = 100)","2011","","203.72","","Official data"
"CP","Consumer Price Indices","5000","World","7013","Year average","23013","Consumer Prices, Food Indices (2000 = 100)","2012","","216.34","","Official data"
"CP","Consumer Price Indices","5000","World","7013","Year average","23013","Consumer Prices, Food Indices (2000 = 100)","2013","","232.46","","Official data"

FAOSTAT Date: Fri Sep 05 11:15:14 CEST 2014
